Year,Month,Monthly_average,De_season_alized,St_dev_mon,Unc_of_mean
1958,3,315.7,314.43,-9.99,-0.99
1958,4,317.45,315.16,-9.99,-0.99
1958,5,317.51,314.71,-9.99,-0.99
1958,6,317.24,315.14,-9.99,-0.99
1958,7,315.86,315.18,-9.99,-0.99
1958,8,314.93,316.18,-9.99,-0.99
1958,9,313.2,316.08,-9.99,-0.99
1958,10,312.43,315.41,-9.99,-0.99
1958,11,313.33,315.2,-9.99,-0.99
1958,12,314.67,315.43,-9.99,-0.99
1959,1,315.58,315.55,-9.99,-0.99
1959,2,316.48,315.86,-9.99,-0.99
1959,3,316.65,315.38,-9.99,-0.99
1959,4,317.72,315.41,-9.99,-0.99
1959,5,318.29,315.49,-9.99,-0.99
1959,6,318.15,316.03,-9.99,-0.99
1959,7,316.54,315.86,-9.99,-0.99
1959,8,314.8,316.06,-9.99,-0.99
1959,9,313.84,316.73,-9.99,-0.99
1959,10,313.33,316.33,-9.99,-0.99
1959,11,314.81,316.68,-9.99,-0.99
1959,12,315.58,316.35,-9.99,-0.99
1960,1,316.43,316.4,-9.99,-0.99
1960,2,316.98,316.36,-9.99,-0.99
1960,3,317.58,316.28,-9.99,-0.99
1960,4,319.03,316.7,-9.99,-0.99
1960,5,320.04,317.22,-9.99,-0.99
1960,6,319.59,317.47,-9.99,-0.99
1960,7,318.18,317.52,-9.99,-0.99
1960,8,315.9,317.19,-9.99,-0.99
1960,9,314.17,317.08,-9.99,-0.99
1960,10,313.83,316.83,-9.99,-0.99
1960,11,315,316.88,-9.99,-0.99
1960,12,316.19,316.96,-9.99,-0.99
1961,1,316.89,316.86,-9.99,-0.99
1961,2,317.7,317.08,-9.99,-0.99
1961,3,318.54,317.26,-9.99,-0.99
1961,4,319.48,317.16,-9.99,-0.99
1961,5,320.58,317.76,-9.99,-0.99
1961,6,319.77,317.63,-9.99,-0.99
1961,7,318.57,317.88,-9.99,-0.99
1961,8,316.79,318.06,-9.99,-0.99
1961,9,314.99,317.9,-9.99,-0.99
1961,10,315.31,318.32,-9.99,-0.99
1961,11,316.1,317.99,-9.99,-0.99
1961,12,317.01,317.79,-9.99,-0.99
1962,1,317.94,317.91,-9.99,-0.99
1962,2,318.55,317.92,-9.99,-0.99
1962,3,319.68,318.39,-9.99,-0.99
1962,4,320.57,318.24,-9.99,-0.99
1962,5,321.02,318.18,-9.99,-0.99
1962,6,320.62,318.47,-9.99,-0.99
1962,7,319.61,318.92,-9.99,-0.99
1962,8,317.4,318.68,-9.99,-0.99
1962,9,316.25,319.17,-9.99,-0.99
1962,10,315.42,318.45,-9.99,-0.99
1962,11,316.69,318.58,-9.99,-0.99
1962,12,317.7,318.47,-9.99,-0.99
1963,1,318.74,318.7,-9.99,-0.99
1963,2,319.07,318.44,-9.99,-0.99
1963,3,319.86,318.57,-9.99,-0.99
1963,4,321.38,319.05,-9.99,-0.99
1963,5,322.25,319.4,-9.99,-0.99
1963,6,321.48,319.32,-9.99,-0.99
1963,7,319.74,319.05,-9.99,-0.99
1963,8,317.77,319.05,-9.99,-0.99
1963,9,316.21,319.14,-9.99,-0.99
1963,10,315.99,319.02,-9.99,-0.99
1963,11,317.07,318.97,-9.99,-0.99
1963,12,318.35,319.13,-9.99,-0.99
1964,1,319.57,319.54,-9.99,-0.99
1964,2,320.01,319.37,-9.99,-0.99
1964,3,320.74,319.41,-9.99,-0.99
1964,4,321.84,319.45,-9.99,-0.99
1964,5,322.26,319.4,-9.99,-0.99
1964,6,321.89,319.75,-9.99,-0.99
1964,7,320.44,319.77,-9.99,-0.99
1964,8,318.69,320,-9.99,-0.99
1964,9,316.7,319.66,-9.99,-0.99
1964,10,316.87,319.91,-9.99,-0.99
1964,11,317.68,319.58,-9.99,-0.99
1964,12,318.71,319.49,-9.99,-0.99
1965,1,319.44,319.4,-9.99,-0.99
1965,2,320.44,319.81,-9.99,-0.99
1965,3,320.89,319.59,-9.99,-0.99
1965,4,322.14,319.78,-9.99,-0.99
1965,5,322.17,319.3,-9.99,-0.99
1965,6,321.87,319.7,-9.99,-0.99
1965,7,321.21,320.51,-9.99,-0.99
1965,8,318.87,320.15,-9.99,-0.99
1965,9,317.81,320.77,-9.99,-0.99
1965,10,317.3,320.36,-9.99,-0.99
1965,11,318.87,320.78,-9.99,-0.99
1965,12,319.42,320.2,-9.99,-0.99
1966,1,320.62,320.59,-9.99,-0.99
1966,2,321.6,320.96,-9.99,-0.99
1966,3,322.39,321.08,-9.99,-0.99
1966,4,323.7,321.34,-9.99,-0.99
1966,5,324.08,321.2,-9.99,-0.99
1966,6,323.75,321.57,-9.99,-0.99
